"","genus","quality_grade","identifications_most_agree","species_guess","num_identification_disagreements","identifications_count","species_count","RatioDisagree"
"30","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"31","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"32","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"33","Bombus","research",TRUE,"Frigid Bumble Bee",0,1,56,0
"34","Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0,56,NA
"35","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"36","Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0,56,NA
"37","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,2,56,0
"38","Bombus","needs_id",FALSE,NA,0,0,56,NA
"39","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"40","Epeolus","needs_id",TRUE,"Cellophane-cuckoo Bees",0,1,12,0
"41","Nomada","needs_id",TRUE,"Nomad Bees",0,1,33,0
"42","Nomada","needs_id",TRUE,"Nomad Bees",0,1,33,0
"43","Bombus","needs_id",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"44","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"45","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"46","Bombus","research",TRUE,"Bombus kluanensis",0,1,56,0
"47","Bombus","needs_id",FALSE,"Bombus lapponicus",0,0,56,NA
"48","Bombus","needs_id",FALSE,"Alpinobombus",0,0,56,NA
"49","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"50","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"51","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"52","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"53","Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1,56,0
"54","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"55","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"56","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"57","Nomada","needs_id",TRUE,"Nomad Bees",0,2,33,0
"58","Bombus","research",FALSE,"Yellow-Fronted Bumble Bee",0,0,56,NA
"59","Bombus","research",TRUE,"Western Bumblebee",0,2,56,0
"60","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,2,56,0
"61","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"62","Bombus","needs_id",TRUE,"Alpinobombus",0,2,56,0
"63","Nomada","needs_id",TRUE,"Nomad Bees",0,2,33,0
"64","Bombus","research",TRUE,"Forest Bumble Bee",0,2,56,0
"65","Bombus","needs_id",TRUE,"Frigid Bumble Bee",0,1,56,0
"66","Bombus","research",TRUE,"Forest Bumble Bee",0,2,56,0
"67","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"68","Bombus","research",FALSE,"Black-notched Bumble Bee",0,0,56,NA
"69","Nomada","needs_id",TRUE,"Nomad Bees",0,2,33,0
"70","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"71","Bombus","research",FALSE,"Yellow-Fronted Bumble Bee",0,0,56,NA
"72","Bombus","research",FALSE,"Black-tailed Bumble Bee",0,0,56,NA
"73","Bombus","research",FALSE,"Black-tailed Bumble Bee",0,0,56,NA
"74","Bombus","research",FALSE,"Black-notched Bumble Bee",0,0,56,NA
"75","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"76","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"77","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"78","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"79","Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1,56,0
"80","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"81","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"82","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"83","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"84","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"85","Bombus","needs_id",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"86","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,2,56,0
"87","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"88","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"89","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"90","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"91","Bombus","needs_id",TRUE,"Bombus",0,2,56,0
"92","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"93","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"94","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"95","Bombus","research",TRUE,"Frigid Bumble Bee",0,1,56,0
"96","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"97","Nomada","research",TRUE,"Eagle Cuckoo Nomad Bee",0,1,33,0
"98","Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,1,56,0
"99","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"100","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"101","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"102","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"103","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"104","Apis","research",TRUE,"Western Honey Bee",0,4,1,0
"105","Bombus","needs_id",TRUE,"Alpinobombus",0,1,56,0
"106","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"107","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"108","Bombus","needs_id",TRUE,"Bombus",0,2,56,0
"109","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"110","Nomada","needs_id",TRUE,"Nomad Bees",0,1,33,0
"111","Nomada","needs_id",TRUE,"Nomad Bees",0,2,33,0
"112","Bombus","needs_id",TRUE,"Bombus",0,2,56,0
"113","Bombus","research",TRUE,"Forest Bumble Bee",0,1,56,0
"114","Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1,56,0
"115","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,2,56,0
"116","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"117","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"118","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"119","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"120","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"121","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"122","Apis","research",TRUE,"Western Honey Bee",0,1,1,0
"123","Bombus","needs_id",TRUE,"Bombus",0,1,56,0
"124","Bombus","needs_id",TRUE,"Alpinobombus",0,1,56,0
"125","Bombus","research",TRUE,"Forest Bumble Bee",0,1,56,0
"126","Bombus","needs_id",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"127","Bombus","needs_id",TRUE,"Bombus",0,2,56,0
"128","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"129","Bombus","needs_id",TRUE,"Black-notched Bumble Bee",0,1,56,0
"130","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"131","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"132","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"133","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"134","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"135","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"136","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"137","Bombus","needs_id",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"138","Apis","research",TRUE,"Western Honey Bee",0,4,1,0
"139","Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0,56,NA
"140","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"141","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"142","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"143","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"144","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"145","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"146","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"147","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"148","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"149","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"150","Bombus","needs_id",FALSE,NA,0,0,56,NA
"151","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"152","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"153","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"154","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"155","Bombus","needs_id",TRUE,"Bombus",0,1,56,0
"156","Bombus","needs_id",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"157","Bombus","needs_id",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"158","Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1,56,0
"159","Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1,56,0
"160","Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1,56,0
"161","Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1,56,0
"162","Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1,56,0
"163","Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1,56,0
"164","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"165","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"166","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"167","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"168","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"169","Bombus","research",TRUE,"Suckley's Cuckoo Bumble Bee",0,1,56,0
"170","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"171","Bombus","needs_id",FALSE,"Pyrobombus",0,0,56,NA
"172","Bombus","research",TRUE,"Heath Bumble Bee",0,1,56,0
"173","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"174","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"175","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"176","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"177","Bombus","needs_id",TRUE,"Bombus",0,1,56,0
"178","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"179","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"180","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"181","Bombus","research",TRUE,"Heath Bumble Bee",0,1,56,0
"182","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"183","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"184","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"185","Bombus","research",TRUE,"Forest Bumble Bee",0,1,56,0
"186","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"187","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"188","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"189","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"190","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"191","Bombus","needs_id",FALSE,"Indiscriminate Cuckoo Bumble Bee",0,0,56,NA
"192","Bombus","research",TRUE,"Heath Bumble Bee",0,2,56,0
"193","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"194","Bombus","research",TRUE,"Cryptic Bumble Bee",0,3,56,0
"195","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"196","Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1,56,0
"197","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"198","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"199","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"200","Bombus","needs_id",FALSE,"Bombus",0,0,56,NA
"201","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"202","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"203","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"204","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"205","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"206","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"207","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"208","Bombus","needs_id",TRUE,"Alpinobombus",0,1,56,0
"209","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"210","Bombus","needs_id",FALSE,"Nevada Bumble Bee",0,0,56,NA
"211","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"212","Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0,56,NA
"213","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1,56,0
"214","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"215","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"216","Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,1,56,0
"217","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"218","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"219","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1,56,0
"220","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"221","Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,1,56,0
"222","Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0,56,NA
"223","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"224","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"225","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"226","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"227","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"228","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"229","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"230","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"231","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"232","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"233","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"234","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"235","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"236","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"237","Bombus","needs_id",TRUE,"Frigid Bumble Bee",0,1,56,0
"238","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"239","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"240","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"241","Bombus","research",TRUE,"Nevada Bumble Bee",0,3,56,0
"242","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"243","Bombus","needs_id",TRUE,"Pyrobombus",0,3,56,0
"244","Bombus","research",TRUE,"Golden-belted Bumble Bee",0,2,56,0
"245","Bombus","needs_id",TRUE,"Bombus",0,2,56,0
"246","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"247","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"248","Apis","research",TRUE,"Western Honey Bee",0,3,1,0
"249","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"250","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"251","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"252","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"253","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"254","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"255","Bombus","research",TRUE,"Frigid Bumble Bee",0,1,56,0
"256","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"257","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"258","Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,2,56,0
"259","Epeolus","needs_id",TRUE,"Variegated Cuckoo Bees",0,2,12,0
"260","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"261","Bombus","needs_id",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,3,56,0
"262","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"263","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"264","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1,56,0
"265","Bombus","research",TRUE,"Nevada Bumble Bee",0,3,56,0
"266","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"267","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"268","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"269","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"270","Bombus","research",TRUE,"Bombus occidentalis mckayi",0,2,56,0
"271","Bombus","research",TRUE,"Nevada Bumble Bee",0,3,56,0
"272","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"273","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"274","Bombus","research",TRUE,"Frigid Bumble Bee",0,1,56,0
"275","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"276","Bombus","needs_id",FALSE,"Nevada Bumble Bee",0,0,56,NA
"277","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"278","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"279","Bombus","needs_id",TRUE,"Frigid Bumble Bee",0,1,56,0
"280","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"281","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"282","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"283","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"284","Bombus","needs_id",TRUE,"Frigid Bumble Bee",0,1,56,0
"285","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"286","Bombus","research",TRUE,"Frigid Bumble Bee",0,2,56,0
"287","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"288","Epeolus","needs_id",TRUE,"Variegated Cuckoo Bees",0,1,12,0
"289","Bombus","research",TRUE,"Frigid Bumble Bee",0,1,56,0
"290","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"291","Bombus","research",TRUE,"Golden-belted Bumble Bee",0,3,56,0
"292","Bombus","research",TRUE,"Golden-belted Bumble Bee",0,2,56,0
"293","Bombus","research",TRUE,"Golden-belted Bumble Bee",0,2,56,0
"294","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"295","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"296","Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,3,56,0
"297","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"298","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"299","Bombus","needs_id",TRUE,"Bombus",0,1,56,0
"300","Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,3,56,0
"301","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"302","Bombus","research",TRUE,"Black-notched Bumble Bee",0,2,56,0
"303","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"304","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"305","Bombus","needs_id",FALSE,NA,0,0,56,NA
"306","Nomada","needs_id",TRUE,"Nomad Bees",0,3,33,0
"307","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"308","Bombus","research",TRUE,"Forest Bumble Bee",0,3,56,0
"309","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"310","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
"311","Bombus","research",TRUE,"Black-tailed Bumble Bee",0,2,56,0
"312","Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,2,56,0
"313","Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1,56,0
"314","Apis","research",TRUE,"Western Honey Bee",0,2,1,0
"315","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"316","Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1,56,0
"317","Bombus","needs_id",FALSE,"Bumble Bees",0,0,56,NA
"318","Bombus","research",TRUE,"Forest Bumble Bee",0,1,56,0
"319","Bombus","research",TRUE,"Forest Bumble Bee",0,1,56,0
"320","Bombus","research",TRUE,"Nevada Bumble Bee",0,2,56,0
"321","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"322","Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1,56,0
"323","Bombus","research",TRUE,"Red-belted Bumble Bee",0,1,56,0
"324","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1,56,0
"325","Bombus","research",TRUE,"Black-notched Bumble Bee",0,3,56,0
"326","Bombus","research",TRUE,"Cryptic Bumble Bee",0,1,56,0
"327","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"328","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"329","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"330","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"331","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"332","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"333","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"334","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"335","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"336","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"337","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"338","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"339","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"340","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"341","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"342","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"343","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"344","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"345","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"346","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"347","Bombus","research",TRUE,"Cryptic Bumble Bee",0,2,56,0
"348","Bombus","research",TRUE,"Forest Bumble Bee",0,1,56,0
"349","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"350","Bombus","needs_id",TRUE,"Alpinobombus",0,1,56,0
"351","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"352","Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1,56,0
"353","Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"354","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"355","Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1,56,0
"356","Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,2,56,0
"357","Bombus","needs_id",TRUE,"Bombus",0,1,56,0
"358","Bombus","research",TRUE,"Black-notched Bumble Bee",0,1,56,0
"359","Bombus","research",TRUE,"Nevada Bumble Bee",0,1,56,0
"360","Bombus","needs_id",TRUE,"Bombus",0,2,56,0
"361","Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1,56,0
"362","Bombus","needs_id",TRUE,"Bumble Bees",0,1,56,0
"363","Bombus","research",TRUE,"California Bumble Bee",0,3,56,0
"364","Bombus","needs_id",TRUE,"Perplexing Bumble Bee",0,1,56,0
"365","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"366","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"367","Bombus","needs_id",TRUE,"Pyrobombus",0,1,56,0
"368","Bombus","needs_id",TRUE,"Bumble Bees",0,2,56,0
"369","Bombus","needs_id",TRUE,"Perplexing Bumble Bee",0,1,56,0
"370","Bombus","needs_id",FALSE,"Bumble Bees",1,1,56,1
"371","Bombus","research",TRUE,"Perplexing Bumble Bee",0,2,56,0
"372","Bombus","research",TRUE,"Perplexing Bumble Bee",0,1,56,0
"373","Bombus","needs_id",TRUE,"Pyrobombus",0,2,56,0
