"","genus","quality_grade","id","comments_count","observed_on","num_identification_agreements","identifications_count","num_identification_disagreements","location","taxon.name","taxon.rank","taxon.id","taxon.taxon_changes_count","taxon.observations_count","user.id","user.observations_count","user.identifications_count","species_count","RatioDisagree"
"74","Bombus","research",37809853,0,"2019-05-12",0,0,0,"60.750175,-135.0930472222","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,NA
"75","Bombus","research",37598970,0,"2008-07-11",1,1,0,"59.578028,-133.689524","Bombus flavifrons","species",119308,0,692,1541811,5757,184,56,0
"76","Bombus","research",37591938,0,"2019-05-01",2,2,0,"60.7488472222,-135.0940694444","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,0
"77","Bombus","needs_id",37424891,0,"2019-07-17",1,1,0,"59.4092683333,-133.5789633333","Bombus","genus",52775,1,143140,726092,7602,5437,56,0
"78","Bombus","research",37239455,0,"2019-07-03",2,2,0,"54.1347889969,-131.664069705","Bombus flavifrons","species",119308,0,692,979594,1289,465,56,0
"79","Bombus","needs_id",37062540,0,"2019-07-13",1,1,0,"60.0589833333,-134.5931833333","Psithyrus","subgenus",538893,0,1941,726092,7602,5437,56,0
"80","Bombus","research",36710484,0,"2014-06-26",1,1,0,"60.7832524362,-135.1304546043","Bombus flavifrons","species",119308,0,692,842243,2105,830,56,0
"81","Bombus","needs_id",36592869,0,"2016-07-28",1,1,0,"60.2105733333,-132.8160016667","Bombus insularis","species",143036,0,128,842243,2105,830,56,0
"82","Bombus","needs_id",36592814,0,"2016-07-28",1,1,0,"60.2105916667,-132.815885","Psithyrus","subgenus",538893,0,1941,842243,2105,830,56,0
"83","Bombus","needs_id",36592369,0,"2016-07-28",1,1,0,"60.210725,-132.81592","Bombus flavifrons","species",119308,0,692,842243,2105,830,56,0
"84","Bombus","needs_id",36592310,0,"2016-07-28",1,1,0,"60.2106416667,-132.8159833333","Bombus melanopygus","species",130222,0,3688,842243,2105,830,56,0
"85","Bombus","needs_id",36592255,1,"2016-07-28",1,1,0,"60.2107066667,-132.8159283333","Bombus insularis","species",143036,0,128,842243,2105,830,56,0
"86","Bombus","research",36592177,0,"2016-07-28",2,2,0,"60.21068,-132.8160233333","Bombus melanopygus","species",130222,0,3688,842243,2105,830,56,0
"87","Bombus","needs_id",36592127,0,"2016-07-28",1,1,0,"60.2106183333,-132.8161316667","Bombus melanopygus","species",130222,0,3688,842243,2105,830,56,0
"88","Bombus","needs_id",36592104,0,"2016-07-28",1,1,0,"60.3012795594,-132.974572254","Bombus occidentalis","species",82371,0,212,842243,2105,830,56,0
"89","Bombus","needs_id",36591652,0,"2016-07-28",1,1,0,"60.2107033333,-132.8159433333","Bombus insularis","species",143036,0,128,842243,2105,830,56,0
"90","Bombus","needs_id",36591603,0,"2016-07-28",1,1,0,"60.2106,-132.8158033333","Psithyrus","subgenus",538893,0,1941,842243,2105,830,56,0
"91","Bombus","needs_id",36590081,0,"2016-07-27",2,2,0,"60.2047755416,-132.8337390658","Bombus","subgenus",538903,0,14240,842243,2105,830,56,0
"92","Apis","research",36582716,0,"2018-09-15",2,2,0,"60.7035777778,-135.0257555556","Apis mellifera","species",47219,1,95272,1717202,1875,622,1,0
"93","Apis","research",36582715,0,"2018-09-15",2,2,0,"60.7032555556,-135.0252388889","Apis mellifera","species",47219,1,95272,1717202,1875,622,1,0
"94","Apis","research",36582714,0,"2018-09-15",3,3,0,"60.7031138889,-135.0285805556","Apis mellifera","species",47219,1,95272,1717202,1875,622,1,0
"95","Bombus","research",36185999,0,"2019-07-01",1,1,0,"63.907565,-135.30432","Bombus frigidus","species",433293,0,74,726092,7602,5437,56,0
"96","Bombus","needs_id",36116179,2,"2010-06-06",1,1,0,"69.1602189302,-140.1468363116","Bombus cryptarum","species",453068,1,150,1014980,2265,1407,56,0
"97","Nomada","research",35877076,0,"2018-08-13",1,1,0,"60.6926027778,-135.0166472222","Nomada aquilarum","species",459139,0,1,1717202,1875,622,33,0
"98","Bombus","research",35875996,0,"2019-07-16",1,1,0,"57.4779166667,-130.2331583333","Bombus mixtus","species",319125,0,859,459348,42989,4821,56,0
"99","Bombus","research",35665578,0,"2018-08-06",2,2,0,"60.92065,-132.9534444444","Bombus flavifrons","species",119308,0,692,1717202,1875,622,56,0
"100","Bombus","research",35561098,1,"2019-05-26",1,1,0,"60.7660933333,-135.13826","Bombus insularis","species",143036,0,128,160274,2905,778,56,0
"101","Bombus","research",35479098,2,"2019-07-17",1,1,0,"60.7131065787,-135.0239640273","Bombus nevadensis","species",341001,1,624,160274,2905,778,56,0
"102","Bombus","needs_id",35343492,0,"2019-08-01",1,1,0,"67.51745,-136.5003083333","Bombus","genus",52775,1,143140,842243,2105,830,56,0
"103","Bombus","research",35336640,0,"2019-07-16",1,1,0,"60.7128144867,-135.0239387199","Bombus nevadensis","species",341001,1,624,842243,2105,830,56,0
"104","Apis","research",35307881,0,"2019-06-20",4,4,0,"68.3581983333,-133.7310916667","Apis mellifera","species",47219,1,95272,160274,2905,778,1,0
"105","Bombus","needs_id",35307296,0,"2019-06-20",1,1,0,"68.3581933333,-133.7311166667","Alpinobombus","subgenus",538882,0,69,160274,2905,778,56,0
"106","Bombus","research",35273715,1,"2019-06-02",1,1,0,"60.2439933333,-136.9564683333","Bombus flavifrons","species",119308,0,692,160274,2905,778,56,0
"107","Apis","research",35187127,0,"2018-08-02",3,3,0,"60.7646305556,-135.0915361111","Apis mellifera","species",47219,1,95272,1717202,1875,622,1,0
"108","Bombus","needs_id",35186827,0,"2018-08-02",2,2,0,"60.7089133023,-135.0187445592","Bombus","subgenus",538903,0,14240,1717202,1875,622,56,0
"109","Bombus","research",35114282,0,"2018-08-02",2,2,0,"60.7024305556,-134.9843611111","Bombus flavifrons","species",119308,0,692,1717202,1875,622,56,0
"110","Nomada","needs_id",35077754,0,"2018-08-02",1,1,0,"60.7007333333,-134.9917611111","Nomada vicina","species",199019,0,22,1717202,1875,622,33,0
"111","Nomada","needs_id",35073414,0,"2018-08-02",2,2,0,"60.7007416667,-134.9917305556","Nomada","genus",53648,0,6067,1717202,1875,622,33,0
"112","Bombus","needs_id",34571118,0,"2018-07-27",2,2,0,"60.6231150515,-135.0167076658","Bombus","subgenus",538903,0,14240,1717202,1875,622,56,0
"113","Bombus","research",34557763,1,"2019-06-18",1,1,0,"69.578285,-138.8517983333","Bombus sylvicola","species",450489,0,124,160274,2905,778,56,0
"114","Bombus","needs_id",34525653,0,"2018-07-26",1,1,0,"60.7009722222,-135.0168611111","Psithyrus","subgenus",538893,0,1941,1717202,1875,622,56,0
"115","Bombus","research",34399457,0,"2018-07-23",2,2,0,"60.6978805556,-135.0135944444","Bombus insularis","species",143036,0,128,1717202,1875,622,56,0
"116","Bombus","research",34389102,0,"2018-07-21",2,2,0,"60.7010611111,-135.0220805556","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,0
"117","Apis","research",34388995,0,"2018-07-21",1,1,0,"60.7015305556,-135.0243527778","Apis mellifera","species",47219,1,95272,1717202,1875,622,1,0
"118","Bombus","research",34385478,0,"2018-07-19",2,2,0,"60.7009,-135.0133527778","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,0
"119","Bombus","research",34347919,0,"2018-07-17",2,2,0,"60.7019055556,-135.0215444444","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,0
"120","Bombus","research",34347917,0,"2018-07-17",2,2,0,"60.7014972222,-135.02185","Bombus nevadensis","species",341001,1,624,1717202,1875,622,56,0
"121","Bombus","needs_id",34347064,0,"2018-07-17",1,1,0,"60.6998138889,-135.0174111111","Bombus fernaldae","species",198858,0,263,1717202,1875,622,56,0
"122","Apis","research",34226157,0,"2019-07-25",1,1,0,"60.7686261842,-135.1421145182","Apis mellifera","species",47219,1,95272,160274,2905,778,1,0
"123","Bombus","needs_id",34226085,1,"2019-07-28",1,1,0,"68.3508248963,-133.6913686811","Bombus cryptarum","species",453068,1,150,160274,2905,778,56,0
"124","Bombus","needs_id",34225839,1,"2019-07-30",1,1,0,"69.5785613838,-138.8870709897","Alpinobombus","subgenus",538882,0,69,160274,2905,778,56,0
"125","Bombus","research",34224949,1,"2019-08-02",1,1,0,"69.5738858549,-138.9022679909","Bombus sylvicola","species",450489,0,124,160274,2905,778,56,0
"126","Bombus","needs_id",34188434,0,"2018-07-16",1,1,0,"60.7709416667,-135.1244194444","Bombus melanopygus","species",130222,0,3688,1717202,1875,622,56,0
"127","Bombus","needs_id",34149383,0,"2018-07-16",2,2,0,"60.7043971286,-135.1106378839","Bombus","subgenus",538903,0,14240,1717202,1875,622,56,0
"128","Bombus","needs_id",33785307,0,"2018-07-12",1,1,0,"62.2980472222,-136.1219333333","Bombus frigidus","species",433293,0,74,1717202,1875,622,56,0
"129","Bombus","needs_id",33783755,0,"2018-07-11",1,1,0,"60.7015333333,-135.0243833333","Bombus bifarius","species",127052,1,795,1717202,1875,622,56,0
"130","Bombus","research",33637834,0,"2018-07-09",1,1,0,"60.7024611111,-135.0224","Bombus nevadensis","species",341001,1,624,1717202,1875,622,56,0
"131","Apis","research",33577161,0,"2018-07-08",3,3,0,"60.7017888889,-135.0241388889","Apis mellifera","species",47219,1,95272,1717202,1875,622,1,0
"132","Bombus","needs_id",33240626,0,"2019-07-16",1,1,0,"57.4774864827,-130.2319715461","Pyrobombus","subgenus",538900,0,63340,459348,42989,4821,56,0
"133","Bombus","needs_id",33210576,0,"2018-07-07",0,0,0,"60.7029583333,-135.0323333333","Bombus","genus",52775,1,143140,1717202,1875,622,56,NA
"134","Bombus","needs_id",33035300,0,"2019-07-01",0,0,0,"53.5954172188,-131.9318479006","Bombus","genus",52775,1,143140,979594,1289,465,56,NA
"135","Bombus","needs_id",33035297,0,"2019-07-01",0,0,0,"53.5997978442,-131.9324059132","Bombus","genus",52775,1,143140,979594,1289,465,56,NA
"136","Bombus","needs_id",33035293,0,"2019-07-01",0,0,0,"53.6001034369,-131.9321913137","Bombus","genus",52775,1,143140,979594,1289,465,56,NA
"137","Bombus","needs_id",32930427,0,"2019-07-11",1,1,0,"53.3378366667,-132.2884533333","Bombus melanopygus","species",130222,0,3688,499708,13127,6425,56,0
"138","Apis","research",32713275,0,"2019-09-08",4,4,0,"60.5834743631,-134.772291721","Apis mellifera","species",47219,1,95272,776355,1348,1623,1,0
"139","Bombus","needs_id",32353480,0,"2019-09-08",0,0,0,"60.78068376,-135.17096458","Bombus bifarius","species",127052,1,795,35757,3625,6819,56,NA
"140","Bombus","needs_id",31625166,0,"2019-07-09",0,0,0,"53.1023765077,-131.6652555201","Bombus","genus",52775,1,143140,255040,12231,893,56,NA
"141","Bombus","needs_id",31623507,0,"2019-07-09",0,0,0,"53.1081037515,-131.6509028761","Bombus","genus",52775,1,143140,255040,12231,893,56,NA
"142","Bombus","needs_id",31611656,1,"2019-08-27",1,1,0,"54.0204479927,-132.1581250612","Bombus","genus",52775,1,143140,1802367,43,0,56,0
"143","Bombus","needs_id",31307420,0,"2019-07-03",0,0,0,"54.1574916674,-131.6645811834","Bombus","genus",52775,1,143140,255040,12231,893,56,NA
"144","Bombus","needs_id",31305639,0,"2019-07-03",0,0,0,"54.15820794,-131.6615785124","Bombus","genus",52775,1,143140,255040,12231,893,56,NA
"145","Bombus","needs_id",31305529,0,"2019-07-03",1,1,0,"54.1597593648,-131.6611394364","Bombus flavifrons","species",119308,0,692,255040,12231,893,56,0
"146","Bombus","needs_id",30984112,0,"2019-07-07",0,0,0,"63.88143,-138.14521","Bombus","genus",52775,1,143140,842243,2105,830,56,NA
"147","Bombus","needs_id",30836802,0,"2019-07-01",0,0,0,"53.5918569491,-131.9327681926","Bombus","genus",52775,1,143140,255040,12231,893,56,NA
"148","Bombus","needs_id",30836800,0,"2019-07-01",0,0,0,"53.5911801968,-131.9327978828","Bombus","genus",52775,1,143140,255040,12231,893,56,NA
"149","Bombus","research",30793796,0,"2019-08-01",2,2,0,"67.5162033333,-136.4982733333","Bombus frigidus","species",433293,0,74,842243,2105,830,56,0
"150","Bombus","needs_id",30631389,0,"2019-08-11",0,0,0,"54.1796916667,-130.3134783333","Bombus","genus",52775,1,143140,1601123,597,328,56,NA
"151","Bombus","needs_id",30566103,1,"2019-08-09",1,1,0,"60.4497388889,-137.9613194444","Bombus cryptarum","species",453068,1,150,111081,2869,38894,56,0
"152","Bombus","needs_id",30566102,0,"2019-08-09",2,2,0,"60.4497388889,-137.9613194444","Bombus","genus",52775,1,143140,111081,2869,38894,56,0
"153","Bombus","needs_id",30566098,0,"2019-08-09",1,1,0,"60.449725,-137.96135","Bombus","genus",52775,1,143140,111081,2869,38894,56,0
"154","Bombus","needs_id",30566096,0,"2019-08-09",0,0,0,"60.4497388889,-137.9613194444","Bombus","genus",52775,1,143140,111081,2869,38894,56,NA
"155","Bombus","needs_id",30566095,0,"2019-08-09",1,1,0,"60.449725,-137.96135","Bombus","subgenus",538903,0,14240,111081,2869,38894,56,0
"156","Bombus","needs_id",30566089,0,"2019-08-09",1,1,0,"60.4497,-137.9615027778","Bombus insularis","species",143036,0,128,111081,2869,38894,56,0
"157","Bombus","needs_id",30566088,0,"2019-08-09",1,1,0,"60.4497,-137.9615027778","Bombus insularis","species",143036,0,128,111081,2869,38894,56,0
"158","Bombus","needs_id",30564744,0,"2019-08-09",1,1,0,"60.450325,-137.9616388889","Bombus sylvicola","species",450489,0,124,111081,2869,38894,56,0
"159","Bombus","needs_id",30564741,0,"2019-08-09",1,1,0,"60.450325,-137.9616388889","Bombus sylvicola","species",450489,0,124,111081,2869,38894,56,0
"160","Bombus","needs_id",30564738,0,"2019-08-09",1,1,0,"60.4503638889,-137.9616388889","Bombus sylvicola","species",450489,0,124,111081,2869,38894,56,0
"161","Bombus","needs_id",30564737,0,"2019-08-09",1,1,0,"60.4503638889,-137.9616388889","Bombus sylvicola","species",450489,0,124,111081,2869,38894,56,0
"162","Bombus","needs_id",30564736,0,"2019-08-09",1,1,0,"60.4503638889,-137.9616388889","Bombus sylvicola","species",450489,0,124,111081,2869,38894,56,0
"163","Bombus","needs_id",30564733,0,"2019-08-09",1,1,0,"60.4503833333,-137.9615944444","Bombus sylvicola","species",450489,0,124,111081,2869,38894,56,0
"164","Bombus","needs_id",30564731,0,"2019-08-09",1,1,0,"60.4503833333,-137.9615944444","Bombus","genus",52775,1,143140,111081,2869,38894,56,0
"165","Bombus","research",30564729,0,"2019-08-09",2,2,0,"60.4503833333,-137.9615944444","Bombus bifarius","species",127052,1,795,111081,2869,38894,56,0
"166","Bombus","needs_id",30564727,0,"2019-08-09",1,1,0,"60.4502555556,-137.9618083333","Bombus","genus",52775,1,143140,111081,2869,38894,56,0
"167","Bombus","needs_id",30451556,0,"2019-08-08",0,0,0,"68.362115177,-133.6992133939","Bombus","genus",52775,1,143140,481234,961,849,56,NA
"168","Bombus","needs_id",30451517,0,"2019-08-08",0,0,0,"68.3597764261,-133.7188147368","Bombus","genus",52775,1,143140,481234,961,849,56,NA
"169","Bombus","research",30407318,1,"2019-07-31",1,1,0,"67.5944328029,-136.4931611728","Bombus suckleyi","species",452445,0,7,759222,125,13,56,0
"170","Bombus","research",30388544,0,"2019-07-07",2,2,0,"60.7178115845,-135.0479736328","Bombus cryptarum","species",453068,1,150,2099051,5,0,56,0
"171","Bombus","needs_id",30326300,0,"2019-07-31",0,0,0,"69.03574,-140.48762","Pyrobombus","subgenus",538900,0,63340,35757,3625,6819,56,NA
"172","Bombus","research",30326287,0,"2019-07-31",1,1,0,"69.0349416667,-140.4857583333","Bombus jonellus","species",452446,0,32,35757,3625,6819,56,0
"173","Bombus","research",30326283,0,"2019-07-31",1,1,0,"69.033535,-140.4882433333","Bombus cryptarum","species",453068,1,150,35757,3625,6819,56,0
"174","Bombus","research",30308785,0,"2015-06-24",1,1,0,"60.4355813621,-134.8919194141","Bombus flavifrons","species",119308,0,692,2041848,49,6,56,0
"175","Bombus","research",30291174,0,"2019-07-08",1,1,0,"60.4356095151,-134.8930152041","Bombus cryptarum","species",453068,1,150,2041848,49,6,56,0
"176","Bombus","research",30277787,0,"2019-07-30",2,2,0,"67.7927638889,-136.702575","Bombus cryptarum","species",453068,1,150,111081,2869,38894,56,0
