"genus","quality_grade","identifications_most_agree","species_guess","num_identification_disagreements","identifications_count"
"Nomada","needs_id",TRUE,"Nomad Bees",0,2
"Bombus","research",FALSE,"Yellow-Fronted Bumble Bee",0,0
"Bombus","research",TRUE,"Western Bumblebee",0,2
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,2
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",TRUE,"Alpinobombus",0,2
"Nomada","needs_id",TRUE,"Nomad Bees",0,2
"Bombus","research",TRUE,"Forest Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Frigid Bumble Bee",0,1
"Bombus","research",TRUE,"Forest Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",FALSE,"Black-notched Bumble Bee",0,0
"Nomada","needs_id",TRUE,"Nomad Bees",0,2
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",FALSE,"Yellow-Fronted Bumble Bee",0,0
"Bombus","research",FALSE,"Black-tailed Bumble Bee",0,0
"Bombus","research",FALSE,"Black-tailed Bumble Bee",0,0
"Bombus","research",FALSE,"Black-notched Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1
"Bombus","research",TRUE,"Black-tailed Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bombus",0,2
"Apis","research",TRUE,"Western Honey Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,3
"Bombus","research",TRUE,"Frigid Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Nomada","research",TRUE,"Eagle Cuckoo Nomad Bee",0,1
"Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,4
"Bombus","needs_id",TRUE,"Alpinobombus",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,3
"Bombus","needs_id",TRUE,"Bombus",0,2
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Nomada","needs_id",TRUE,"Nomad Bees",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,2
"Bombus","needs_id",TRUE,"Bombus",0,2
"Bombus","research",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1
"Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,2
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Bombus","research",TRUE,"Nevada Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Apis","research",TRUE,"Western Honey Bee",0,1
"Bombus","needs_id",TRUE,"Bombus",0,1
"Bombus","needs_id",TRUE,"Alpinobombus",0,1
"Bombus","research",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Black-tailed Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bombus",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,3
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",TRUE,"Black-tailed Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,4
"Bombus","needs_id",FALSE,"Black-notched Bumble Bee",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Frigid Bumble Bee",0,2
"Bombus","needs_id",FALSE,NA,0,0
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",FALSE,"Bombus",0,0
"Bombus","needs_id",TRUE,"Bombus",0,1
"Bombus","needs_id",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Suckley's Cuckoo Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","needs_id",FALSE,"Pyrobombus",0,0
"Bombus","research",TRUE,"Heath Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bombus",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Heath Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Forest Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Indiscriminate Cuckoo Bumble Bee",0,0
"Bombus","research",TRUE,"Heath Bumble Bee",0,2
"Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,3
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bombus",0,0
"Bombus","needs_id",FALSE,"Bombus",0,0
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",FALSE,"Bombus",0,0
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","needs_id",TRUE,"Alpinobombus",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",FALSE,"Nevada Bumble Bee",0,0
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0
"Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Black-tailed Bumble Bee",0,1
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Apis","research",TRUE,"Western Honey Bee",0,3
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Frigid Bumble Bee",0,1
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","research",TRUE,"Nevada Bumble Bee",0,3
"Bombus","research",TRUE,"Frigid Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Pyrobombus",0,3
"Bombus","research",TRUE,"Golden-belted Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bombus",0,2
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Bombus","research",TRUE,"Frigid Bumble Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,3
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Frigid Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,2
"Epeolus","needs_id",TRUE,"Variegated Cuckoo Bees",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,3
"Bombus","research",TRUE,"Nevada Bumble Bee",0,2
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,3
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,2
"Bombus","research",TRUE,"Nevada Bumble Bee",0,3
"Bombus","needs_id",TRUE,"Pyrobombus",0,2
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Frigid Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Nevada Bumble Bee",0,0
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Frigid Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,2
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",TRUE,"Frigid Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Frigid Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Epeolus","needs_id",TRUE,"Variegated Cuckoo Bees",0,1
"Bombus","research",TRUE,"Frigid Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Bombus","research",TRUE,"Golden-belted Bumble Bee",0,3
"Bombus","research",TRUE,"Golden-belted Bumble Bee",0,2
"Bombus","research",TRUE,"Golden-belted Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,3
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bombus",0,1
"Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,3
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","needs_id",FALSE,NA,0,0
"Nomada","needs_id",TRUE,"Nomad Bees",0,3
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Forest Bumble Bee",0,3
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,2
"Bombus","research",TRUE,"Black-tailed Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,2
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Forest Bumble Bee",0,1
"Bombus","research",TRUE,"Forest Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Bombus","research",TRUE,"Red-belted Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,3
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Alpinobombus",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bombus",0,1
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bombus",0,2
"Bombus","research",TRUE,"Fernald's Cuckoo Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"California Bumble Bee",0,3
"Bombus","needs_id",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","needs_id",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",1,1
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,2
"Bombus","research",TRUE,"Perplexing Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,3
"Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,3
"Bombus","research",TRUE,"Indiscriminate Cuckoo Bumble Bee",0,1
"Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,2
"Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,3
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Cuckoo Bumble Bees",0,1
"Apis","research",TRUE,"Western Honey Bee",0,2
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,3
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Nomada","needs_id",TRUE,"Nomad Bees",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Apis","casual",FALSE,NA,0,0
"Bombus","needs_id",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","needs_id",FALSE,"Nevada Bumble Bee",0,0
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0
"Bombus","research",TRUE,"Fuzzy-Horned Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","needs_id",FALSE,"Yellow-Fronted Bumble Bee",0,0
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","research",TRUE,"Forest Bumble Bee",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Frigid Bumble Bee",0,1
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,1
"Bombus","needs_id",FALSE,"Cryptic Bumble Bee",0,0
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,2
"Bombus","research",TRUE,"Forest Bumble Bee",0,2
"Bombus","research",TRUE,"Nevada Bumble Bee",0,3
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,3
"Bombus","needs_id",TRUE,"Pyrobombus",0,3
"Bombus","needs_id",FALSE,"Bumble Bees",0,0
"Bombus","research",TRUE,"Two-form Bumble Bee",0,2
"Bombus","research",TRUE,"Black-notched Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",1,4
"Bombus","needs_id",TRUE,"Bumble Bees",0,3
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,2
"Bombus","research",TRUE,"Nevada Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Pyrobombus",0,3
"Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,1
"Bombus","needs_id",TRUE,"Alpinobombus",0,1
"Bombus","research",TRUE,"Gypsy Cuckoo-bee",0,2
"Bombus","research",TRUE,"Bombus occidentalis mckayi",0,1
"Bombus","research",TRUE,"Two-form Bumble Bee",0,1
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Pyrobombus",0,4
"Bombus","research",TRUE,"Cryptic Bumble Bee",0,2
"Bombus","needs_id",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","research",TRUE,"Yellow-Fronted Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,1
"Bombus","research",TRUE,"Nevada Bumble Bee",0,1
"Bombus","research",TRUE,"Two-form Bumble Bee",0,1
"Bombus","research",TRUE,"Forest Bumble Bee",0,1
"Bombus","needs_id",TRUE,"Bumble Bees",0,3
"Bombus","needs_id",TRUE,"Pyrobombus",0,1
